# tables  planning_ms  planning_mem_kb
4          0.403        264
8          1.725        1040
16         69.543       520
24         116.219      1032
32         172.450      1032
40         242.031      2064
48         314.795      2064
56         392.519      2064
64         480.772      4112
72         631.644      4128
80         694.574      4128
88         865.450      4128
96         947.472      4128
104        1065.575     8224
112        1209.345     8224
120        1362.513     8224
128        1534.305     8224
136        1697.552     8224
144        1873.982     8224
152        2052.380     8224
160        2284.453     16416
168        2475.946     16416
176        2732.742     16416
184        2956.040     16416
192        3153.113     16416
200        3425.018     16416
208        3695.483     16416
216        3975.445     16416
224        4264.172     16416
232        4577.102     16416
240        4864.468     16416
248        5226.069     16416
256        5526.825     24608
