
Timing is on.
Time: 236.242 ms
Time: 234.977 ms
Time: 233.582 ms
Time: 237.044 ms
Time: 233.753 ms
Time: 236.723 ms
Time: 238.510 ms
Time: 238.725 ms
Time: 235.753 ms
Time: 231.992 ms
Time: 233.139 ms
Time: 233.057 ms
Time: 234.711 ms
Time: 234.232 ms
Time: 235.554 ms
Time: 236.318 ms
Time: 232.642 ms
Time: 235.428 ms
Time: 237.294 ms
Time: 236.021 ms
Time: 233.205 ms
Time: 236.780 ms
Time: 235.058 ms
Time: 235.507 ms
Time: 233.488 ms
Time: 233.300 ms
Time: 238.393 ms
Time: 232.713 ms
Time: 232.365 ms
Time: 252.193 ms
Time: 234.584 ms
Time: 233.657 ms
Time: 237.011 ms
Time: 240.144 ms
Time: 239.378 ms
Time: 233.914 ms
Time: 235.872 ms
Time: 235.433 ms
Time: 234.636 ms
Time: 235.798 ms
Time: 236.351 ms
Time: 236.592 ms
Time: 234.578 ms
Time: 234.247 ms
Time: 233.771 ms
Time: 233.820 ms
Time: 233.323 ms
Time: 235.067 ms
Time: 235.035 ms
Time: 235.293 ms
Time: 233.645 ms
Time: 234.326 ms
Time: 234.183 ms
Time: 232.580 ms
Time: 243.131 ms
Time: 233.318 ms
Time: 232.421 ms
Time: 233.415 ms
Time: 233.420 ms
Time: 234.360 ms
Time: 237.326 ms
Time: 237.455 ms
Time: 237.409 ms
Time: 232.221 ms
Time: 234.249 ms
Time: 233.271 ms
Time: 238.464 ms
Time: 238.735 ms
Time: 234.420 ms
Time: 232.570 ms
Time: 234.624 ms
Time: 234.145 ms
Time: 233.598 ms
Time: 233.014 ms
Time: 233.696 ms
Time: 232.081 ms
Time: 231.883 ms
Time: 234.433 ms
Time: 231.721 ms
Time: 231.608 ms
Time: 233.567 ms
Time: 232.182 ms
Time: 232.750 ms
Time: 234.491 ms
Time: 231.980 ms
Time: 232.189 ms
Time: 235.244 ms
Time: 237.808 ms
Time: 237.369 ms
Time: 233.802 ms
Time: 233.420 ms
Time: 253.060 ms
Time: 237.624 ms
Time: 234.556 ms
Time: 235.356 ms
Time: 232.367 ms
