build,tier,query,ops,rep,ms
stock,A,add,0,1,275.77
stock,A,add,1,1,619.577
stock,A,add,2,1,875.275
stock,A,add,4,1,1420.719
stock,A,add,8,1,2406.611
stock,A,sub,0,1,280.66
stock,A,sub,1,1,644.599
stock,A,sub,2,1,902.317
stock,A,sub,4,1,1446.407
stock,A,sub,8,1,2397.388
stock,A,mul,0,1,279.609
stock,A,mul,1,1,652.241
stock,A,mul,2,1,913.361
stock,A,mul,4,1,1441.316
stock,A,div,0,1,274.955
stock,A,div,1,1,814.282
stock,A,div,2,1,1245.949
stock,A,div,4,1,2163.148
stock,A,cmp,0,1,275.253
stock,A,cmp,1,1,460.302
stock,A,cmp,2,1,553.267
stock,A,cmp,4,1,728.98
stock,B,scan_count,1,1,275.727
stock,B,sum,1,1,419.9
stock,B,avg,1,1,418.238
stock,B,sum_8add,1,1,2516.191
stock,B,sum_expr_mixed,1,1,1287.919
stock,B,sum_mul,1,1,721.022
stock,B,sum_div,1,1,900.123
stock,B,stddev,1,1,506.722
stock,B,order_by_limit,1,1,0.143
stock,B,where_gt,1,1,459.788
stock,B,text_out,1,1,508.1
stock,B,hash_agg,1,1,919.14
stock,B,hash_join,1,1,1007.611
stock,B,index_scan,1,1,100.853
stock,B,cast_int,1,1,528.91
stock,B,cast_float8,1,1,906.706
stock,B,sum_d,1,1,446.371
stock,B,sum_mul_d,1,1,711.495
stock,B,ref_money_sum,1,1,323.303
stock,B,ref_money_8add,1,1,474.835
stock,B,ref_money_mul2,1,1,333.172
stock,B,ref_bigint_sum,1,1,333.283
stock,B,ref_bigint_8add,1,1,481.513
stock,B,ref_bigint_mul,1,1,352.652
stock,B,ref_float8_sum,1,1,914.792
stock,B,num_mul2,1,1,648.964
dec128,A,add,0,1,293.339
dec128,A,add,1,1,404.229
dec128,A,add,2,1,451.964
dec128,A,add,4,1,548.056
dec128,A,add,8,1,744.807
dec128,A,sub,0,1,291.456
dec128,A,sub,1,1,416.102
dec128,A,sub,2,1,465.112
dec128,A,sub,4,1,560.544
dec128,A,sub,8,1,753.827
dec128,A,mul,0,1,291.693
dec128,A,mul,1,1,414.735
dec128,A,mul,2,1,462.226
dec128,A,mul,4,1,561.179
dec128,A,div,0,1,291.081
dec128,A,div,1,1,560.964
dec128,A,div,2,1,771.224
dec128,A,div,4,1,1228.981
dec128,A,cmp,0,1,292.147
dec128,A,cmp,1,1,370.602
dec128,A,cmp,2,1,403.063
dec128,A,cmp,4,1,483.948
dec128,B,scan_count,1,1,291.833
dec128,B,sum,1,1,317.974
dec128,B,avg,1,1,318.034
dec128,B,sum_8add,1,1,775.638
dec128,B,sum_expr_mixed,1,1,545.384
dec128,B,sum_mul,1,1,447.356
dec128,B,sum_div,1,1,597.644
dec128,B,stddev,1,1,551.928
dec128,B,order_by_limit,1,1,0.112
dec128,B,where_gt,1,1,370.312
dec128,B,text_out,1,1,562.524
dec128,B,hash_agg,1,1,652.779
dec128,B,hash_join,1,1,999.107
dec128,B,index_scan,1,1,110.691
dec128,B,cast_int,1,1,595.327
dec128,B,cast_float8,1,1,938.327
dec128,B,sum_d,1,1,328.562
dec128,B,sum_mul_d,1,1,474.711
dec128,B,ref_money_sum,1,1,320.819
dec128,B,ref_money_8add,1,1,450.717
dec128,B,ref_money_mul2,1,1,334.293
dec128,B,ref_bigint_sum,1,1,336.219
dec128,B,ref_bigint_8add,1,1,461.96
dec128,B,ref_bigint_mul,1,1,351.648
dec128,B,ref_float8_sum,1,1,941.257
dec128,B,num_mul2,1,1,436.462
stock,A,add,0,2,275.528
stock,A,add,1,2,622.512
stock,A,add,2,2,877.235
stock,A,add,4,2,1418.499
stock,A,add,8,2,2402.91
stock,A,sub,0,2,275.077
stock,A,sub,1,2,644.844
stock,A,sub,2,2,894.008
stock,A,sub,4,2,1444.505
stock,A,sub,8,2,2389.627
stock,A,mul,0,2,275.331
stock,A,mul,1,2,651.384
stock,A,mul,2,2,909.77
stock,A,mul,4,2,1436.967
stock,A,div,0,2,274.89
stock,A,div,1,2,811.625
stock,A,div,2,2,1242.616
stock,A,div,4,2,2163.91
stock,A,cmp,0,2,279.631
