build,tier,query,ops,rep,ms
stock,A,add,0,1,249.531
stock,A,add,1,1,593.902
stock,A,add,2,1,872.894
stock,A,add,4,1,1415.418
stock,A,add,8,1,2418.409
stock,A,sub,0,1,248.633
stock,A,sub,1,1,611.965
stock,A,sub,2,1,847.883
stock,A,sub,4,1,1351.815
stock,A,sub,8,1,2209.209
stock,A,mul,0,1,248.14
stock,A,mul,1,1,623.426
stock,A,mul,2,1,872.592
stock,A,mul,4,1,1389.161
stock,A,div,0,1,248.598
stock,A,div,1,1,789.322
stock,A,div,2,1,1209.603
stock,A,div,4,1,2107.43
stock,A,cmp,0,1,248.703
stock,A,cmp,1,1,463.139
stock,A,cmp,2,1,553.601
stock,A,cmp,4,1,725.196
stock,B,scan_count,1,1,248.329
stock,B,sum,1,1,397.919
stock,B,avg,1,1,398.211
stock,B,sum_8add,1,1,2488.534
stock,B,sum_expr_mixed,1,1,1259.574
stock,B,sum_mul,1,1,686.322
stock,B,sum_div,1,1,876.471
stock,B,stddev,1,1,483.029
stock,B,order_by_limit,1,1,0.135
stock,B,where_gt,1,1,464.066
stock,B,text_out,1,1,481.288
stock,B,hash_agg,1,1,873.614
stock,B,hash_join,1,1,962.18
stock,B,index_scan,1,1,92.418
stock,B,cast_int,1,1,509.619
stock,B,cast_float8,1,1,850.7
dec128,A,add,0,1,261.6
dec128,A,add,1,1,374.472
dec128,A,add,2,1,427.836
dec128,A,add,4,1,515.502
dec128,A,add,8,1,711.37
dec128,A,sub,0,1,262.532
dec128,A,sub,1,1,387.006
dec128,A,sub,2,1,457.105
dec128,A,sub,4,1,528.155
dec128,A,sub,8,1,720.265
dec128,A,mul,0,1,261.88
dec128,A,mul,1,1,382.935
dec128,A,mul,2,1,438.559
dec128,A,mul,4,1,526.286
dec128,A,div,0,1,261.253
dec128,A,div,1,1,1075.896
dec128,A,div,2,1,1762.113
dec128,A,div,4,1,3209.799
dec128,A,cmp,0,1,261.293
dec128,A,cmp,1,1,331.436
dec128,A,cmp,2,1,363.554
dec128,A,cmp,4,1,435.878
dec128,B,scan_count,1,1,260.819
dec128,B,sum,1,1,459.221
dec128,B,avg,1,1,460.271
dec128,B,sum_8add,1,1,840.085
dec128,B,sum_expr_mixed,1,1,631.758
dec128,B,sum_mul,1,1,549.672
dec128,B,sum_div,1,1,1227.192
dec128,B,stddev,1,1,558.731
dec128,B,order_by_limit,1,1,0.126
dec128,B,where_gt,1,1,332.399
dec128,B,text_out,1,1,535.093
dec128,B,hash_agg,1,1,642.386
dec128,B,hash_join,1,1,986.469
dec128,B,index_scan,1,1,104.913
dec128,B,cast_int,1,1,570.687
dec128,B,cast_float8,1,1,868.117
stock,A,add,0,2,248.335
stock,A,add,1,2,594.57
stock,A,add,2,2,869.989
stock,A,add,4,2,1411.272
stock,A,add,8,2,2422.043
stock,A,sub,0,2,248.799
stock,A,sub,1,2,614.099
stock,A,sub,2,2,846.827
stock,A,sub,4,2,1359.212
stock,A,sub,8,2,2210.175
stock,A,mul,0,2,248.912
stock,A,mul,1,2,622.683
stock,A,mul,2,2,872.328
stock,A,mul,4,2,1392.919
stock,A,div,0,2,249.175
stock,A,div,1,2,787.874
stock,A,div,2,2,1208.679
stock,A,div,4,2,2109.958
stock,A,cmp,0,2,248.347
stock,A,cmp,1,2,463.595
stock,A,cmp,2,2,552.543
stock,A,cmp,4,2,724.85
stock,B,scan_count,1,2,248.816
